portfolio_size,rebalance_day,exit_buffer,long_term_period_days,short_term_period_days,initial_capital,use_threshold_rebalancing,final_value,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,transaction_costs,win_ratio_pct,days_to_recovery
3,5,3.0,180,20,100000,False,221115.19682315172,121.11519682315173,17.890154231004264,1.200758153630297,-16.996306593175202,173,1751.379771674578,87.91208791208791,637
3,5,3.0,180,30,100000,False,233609.41816789826,133.60941816789827,19.241873291334265,1.265482261913197,-15.445804014370069,171,1575.7817778156416,89.36170212765957,416
3,5,3.0,180,20,100000,True,196307.01199342276,96.30701199342275,15.015926338535191,0.9890108703558688,-20.6714084005992,195,1893.8848075494159,86.27450980392157,711
3,5,3.0,180,30,100000,True,197948.41465648796,97.94841465648796,15.214734351016856,0.9955908733100516,-19.1936852884973,194,1712.5243728815065,88.78504672897196,711
3,5,3.0,180,60,100000,False,210107.38081895752,110.10738081895752,16.64811715944836,1.1062522201445124,-15.397695775119614,175,1569.090023679277,85.43689320388349,416
3,5,3.0,180,60,100000,True,168922.9773370348,68.92297733703481,11.487209925811491,0.7045058072147807,-23.068589604875676,201,1691.6829724565014,84.5528455284553,683
3,5,3.0,200,20,100000,False,206258.7527503841,106.25875275038408,16.201691512758675,1.098923091262398,-16.92788619947233,174,1658.351821241057,87.2340425531915,674
3,5,3.0,200,20,100000,True,196858.70178964845,96.85870178964844,15.082893955838328,0.9664243748637248,-18.836202626926447,200,2006.3889611866152,86.91588785046729,700
3,5,3.0,200,30,100000,False,208743.34766022314,108.74334766022314,16.490641849779642,1.1174023045116446,-16.84555815965577,172,1671.915810451358,85.71428571428571,648
3,5,3.0,200,60,100000,False,196615.31897601005,96.61531897601006,15.053368961541636,1.0074629519885487,-16.924551026423952,174,1621.0823537220147,82.10526315789474,686
3,5,3.0,200,30,100000,True,168905.5261464944,68.90552614649441,11.484820959477627,0.7181556397417341,-20.527832535352573,199,1991.8445722507406,86.27450980392157,774
3,5,3.0,200,60,100000,True,164136.81067447015,64.13681067447014,10.824554829850541,0.6301069771148979,-16.784043639972424,201,2048.253870148394,80.0,Not Recovered
3,5,3.0,220,20,100000,False,209725.56871596002,109.72556871596004,16.60411945978144,1.1590526945224873,-16.927618742350838,171,1575.0627129672305,90.0,640
3,5,3.0,220,20,100000,True,162459.45962332236,62.45945962332235,10.588696685712318,0.6540226973433813,-19.873951288996537,196,1828.2274863785265,87.96296296296296,Not Recovered
