Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
GRETEX,56.1,0.26,-0.79,Gretex Industries Ltd.,1.05,0.0,23.7,62.37,10.0,61.57,0.42,2.61,6.17,1450.17,52.99,80.07,70.55,42.25,0.06
CONTI,12.23,0.8,-4.85,Continental Seeds and Chemicals Ltd.,5.65,0.0,0.66,66.27,10.0,61.42,1.0,5.02,92.5,50.09,72.27,4.29,1.54,2.62,0.06
AATMAJ,21.89,10.81,5.33,Aatmaj Healthcare Ltd.,5.48,0.18,0.39,55.92,5.0,61.25,2.26,1.24,69.54,85.09,63.72,6.41,2.77,42.06,0.06
COMMITTED,53.58,8.34,8.23,Committed Cargo Care Ltd.,0.11,0.87,3.81,52.84,0.0,61.07,1.08,1.05,14.83,22.77,68.63,13.17,9.49,16.67,0.06
SANGANI,24.07,3.99,3.99,Sangani Hospitals Ltd.,0.0,0.0,1.96,56.21,10.0,60.21,1.38,1.82,22.33,46.93,73.22,17.78,13.33,177.17,0.06
LRRPL,14.75,1.84,-0.82,Lead Reclaim And Rubber Products Ltd.,2.66,0.0,0.5,59.55,10.0,58.73,0.73,5.42,158.73,66.0,63.67,10.01,12.17,14.95,0.06
WALPAR,19.18,0.45,0.13,Walpar Nutritions Ltd.,0.32,0.0,1.18,57.1,10.0,57.23,0.94,3.18,51.47,277.61,71.23,11.98,9.03,78.77,0.05
SIGNORIA,36.43,0.0,-10.5,Signoria Creation Ltd.,10.5,0.0,5.06,67.12,10.0,56.62,0.48,3.27,23.5,242.14,69.99,34.42,62.95,62.06,0.05
TAPIFRUIT,27.68,0.04,-0.44,Tapi Fruit Processing Ltd.,0.48,0.0,0.6,55.1,10.0,54.66,0.42,4.74,0.0,224.5,67.79,0.75,4.69,35.27,0.05
TIMESCAN,28.74,2.22,0.22,Timescan Logistics (India) Ltd.,2.0,0.71,5.43,50.79,10.0,51.01,0.7,2.54,13.45,27.92,72.94,32.58,25.6,20.67,0.05
PERFECT,18.82,0.17,-10.1,Perfect Infraengineers Ltd.,10.27,0.0,0.47,61.01,10.0,50.91,1.75,1.55,62.09,131.7,31.25,1.3,2.84,67.76,0.05
SONUINFRA,28.58,0.2,-31.93,Sonu Infratech Ltd.,32.13,0.0,3.67,78.91,10.0,46.98,0.79,2.09,16.3,56.12,65.45,12.94,16.36,20.45,0.04
NIDAN,49.96,8.42,-2.51,Nidan Laboratories And Healthcare Ltd.,10.93,0.0,2.33,48.59,10.0,46.08,1.39,0.66,0.0,32.92,57.04,8.5,5.23,18.19,0.04
BIRDYS,39.49,0.74,-14.75,Grill Splendour Services Ltd.,15.49,0.0,0.46,59.54,10.0,44.79,0.52,2.18,0.0,111.93,-999.999,4.32,7.78,11.95,0.04
YCCL,20.24,0.08,-3.38,Yasons Chemex Care Ltd.,3.46,0.0,0.64,47.78,10.0,44.4,1.93,1.14,35.78,75.61,51.47,20.9,18.06,46.79,0.04
INSPIRE,32.58,0.38,-8.69,Inspire Films Ltd.,9.07,0.0,1.89,52.1,10.0,43.41,1.36,0.98,16.9,1461.81,68.43,38.08,38.24,28.01,0.04
MOXSH,45.29,2.43,0.74,Moxsh Overseas Educon Ltd.,1.69,0.0,10.05,41.14,10.0,41.88,0.22,4.13,0.0,7.76,62.43,20.01,14.5,21.71,0.04
